No.,Timestamp,Sequence Number, Attribute,Status,Data Type,Data Value
1,1777903695,108,Active Power,Success,16-Bit Signed Integer,0
2,1777903695,108,RMS Current,Success,16-Bit Unsigned Integer,0
3,1777903695,108,RMS Voltage,Success,16-Bit Unsigned Integer,218
4,1777903698,71,Active Power,Success,16-Bit Signed Integer,0
5,1777903698,71,RMS Current,Success,16-Bit Unsigned Integer,0
6,1777903698,71,RMS Voltage,Success,16-Bit Unsigned Integer,221
7,1777903705,22,Active Power,Success,16-Bit Signed Integer,0
8,1777903705,22,RMS Current,Success,16-Bit Unsigned Integer,0
9,1777903705,22,RMS Voltage,Success,16-Bit Unsigned Integer,218
10,1777903721,164,Active Power,Success,16-Bit Signed Integer,0
11,1777903721,164,RMS Current,Success,16-Bit Unsigned Integer,0
12,1777903721,164,RMS Voltage,Success,16-Bit Unsigned Integer,220
13,1777903742,32,Active Power,Success,16-Bit Signed Integer,0
14,1777903742,32,RMS Current,Success,16-Bit Unsigned Integer,0
15,1777903742,32,RMS Voltage,Success,16-Bit Unsigned Integer,220
16,1777903753,236,Active Power,Success,16-Bit Signed Integer,0
17,1777903753,236,RMS Current,Success,16-Bit Unsigned Integer,0
18,1777903753,236,RMS Voltage,Success,16-Bit Unsigned Integer,219
19,1777903774,245,Active Power,Success,16-Bit Signed Integer,0
20,1777903774,245,RMS Current,Success,16-Bit Unsigned Integer,0
21,1777903774,245,RMS Voltage,Success,16-Bit Unsigned Integer,219
22,1777903779,232,Active Power,Success,16-Bit Signed Integer,0
23,1777903779,232,RMS Current,Success,16-Bit Unsigned Integer,0
24,1777903779,232,RMS Voltage,Success,16-Bit Unsigned Integer,222
25,1777903785,147,Active Power,Success,16-Bit Signed Integer,0
26,1777903785,147,RMS Current,Success,16-Bit Unsigned Integer,0
27,1777903785,147,RMS Voltage,Success,16-Bit Unsigned Integer,218
28,1777903788,105,Active Power,Success,16-Bit Signed Integer,0
29,1777903788,105,RMS Current,Success,16-Bit Unsigned Integer,0
30,1777903788,105,RMS Voltage,Success,16-Bit Unsigned Integer,221
31,1777903810,161,Active Power,Success,16-Bit Signed Integer,0
32,1777903810,161,RMS Current,Success,16-Bit Unsigned Integer,0
33,1777903810,161,RMS Voltage,Success,16-Bit Unsigned Integer,220
34,1777903842,121,Active Power,Success,16-Bit Signed Integer,0
35,1777903842,121,RMS Current,Success,16-Bit Unsigned Integer,0
36,1777903842,121,RMS Voltage,Success,16-Bit Unsigned Integer,221
37,1777903868,94,Active Power,Success,16-Bit Signed Integer,0
38,1777903868,94,RMS Current,Success,16-Bit Unsigned Integer,0
39,1777903868,94,RMS Voltage,Success,16-Bit Unsigned Integer,220
